vol (cc),p (bar),CA,Avg p (kPa)
30.5,-2.276,-360,74.15
30.52,-2.241,-359,69.6
30.6,-2.367,-358,69.6
30.72,-2.241,-357,73.05
30.9,-2.298,-356,67.9
31.12,-2.344,-355,69.6
31.4,-2.264,-354,68.45
31.72,-2.367,-353,62.75
32.1,-2.378,-352,63.35
32.52,-2.355,-351,63.35
32.99,-2.378,-350,60.5
33.51,-2.412,-349,57.1
34.08,-2.446,-348,57.1
34.7,-2.412,-347,61.65
35.37,-2.355,-346,65.05
36.08,-2.344,-345,61.05
36.84,-2.435,-344,59.35
37.65,-2.378,-343,63.35
38.5,-2.355,-342,67.9
39.4,-2.287,-341,68.45
40.35,-2.344,-340,58.2
41.34,-2.492,-339,52.5
42.37,-2.458,-338,50.8
43.45,-2.526,-337,47.4
44.57,-2.526,-336,46.85
45.74,-2.537,-335,47.4
46.95,-2.515,-334,47.4
48.19,-2.537,-333,44.6
49.48,-2.571,-332,41.75
50.81,-2.594,-331,46.3
52.18,-2.48,-330,52
53.59,-2.48,-329,50.85
55.04,-2.503,-328,44.55
56.52,-2.606,-327,44.55
58.05,-2.503,-326,45.7
59.6,-2.583,-325,41.15
61.2,-2.594,-324,41.15
62.82,-2.583,-323,39.45
64.49,-2.628,-322,37.75
66.18,-2.617,-321,38.3
67.91,-2.617,-320,39.45
69.66,-2.594,-319,38.3
71.45,-2.64,-318,36.6
73.27,-2.628,-317,36.6
75.12,-2.64,-316,35.45
76.99,-2.651,-315,36.05
78.89,-2.628,-314,36.05
80.82,-2.651,-313,32.05
82.77,-2.708,-312,32.05
84.75,-2.651,-311,35.45
86.75,-2.64,-310,32.6
88.77,-2.708,-309,29.75
90.81,-2.697,-308,27.5
92.88,-2.753,-307,28.1
94.96,-2.685,-306,33.75
97.06,-2.64,-305,36.6
99.18,-2.628,-304,38.9
101.32,-2.594,-303,41.15
103.47,-2.583,-302,41.15
105.64,-2.594,-301,35.45
107.82,-2.697,-300,38.85
110.02,-2.526,-299,46.85
112.22,-2.537,-298,43.45
114.44,-2.594,-297,38.9
116.67,-2.628,-296,37.75
118.91,-2.617,-295,38.3
121.15,-2.617,-294,37.75
123.41,-2.628,-293,34.35
125.67,-2.685,-292,33.2
127.93,-2.651,-291,40.6
130.2,-2.537,-290,42.3
132.48,-2.617,-289,41.15
134.75,-2.56,-288,38.9
137.03,-2.662,-287,37.2
139.31,-2.594,-286,37.2
141.59,-2.662,-285,32.65
143.87,-2.685,-284,32.65
146.15,-2.662,-283,35.5
148.43,-2.628,-282,37.2
150.7,-2.628,-281,33.2
152.97,-2.708,-280,30.9
155.23,-2.674,-279,29.2
157.49,-2.742,-278,26.35
159.74,-2.731,-277,23.5
161.99,-2.799,-276,17.85
164.23,-2.844,-275,15
166.46,-2.856,-274,16.7
168.68,-2.81,-273,19.55
170.89,-2.799,-272,23.5
173.09,-2.731,-271,27.5
175.28,-2.719,-270,27.5
177.45,-2.731,-269,25.2
179.62,-2.765,-268,23.5
181.77,-2.765,-267,21.25
183.9,-2.81,-266,21.85
186.02,-2.753,-265,23.55
188.13,-2.776,-264,25.8
190.22,-2.708,-263,30.9
192.29,-2.674,-262,28.65
194.35,-2.753,-261,21.85
196.39,-2.81,-260,20.7
198.41,-2.776,-259,24.1
200.42,-2.742,-258,26.35
202.4,-2.731,-257,28.05
204.37,-2.708,-256,29.2
206.31,-2.708,-255,26.35
208.24,-2.765,-254,28.05
210.14,-2.674,-253,26.35
212.03,-2.799,-252,12.15
213.89,-2.958,-251,10.45
215.73,-2.833,-250,17.85
217.55,-2.81,-249,16.7
219.34,-2.856,-248,14.4
221.12,-2.856,-247,16.7
